title,Movie_Rating,No_of_Ratings,Format,ReleaseYear,MPAA_Rating,Directed_By,Starring,Price
Fifty Shades Freed,4.8,20801,Prime Video,2018.0,R,James Foley,"Dakota Johnson,Jamie Dornan,Eric Johnson,Rita Ora",4.830464886251237
Lovewrecked,4.2,394,Prime Video,2006.0,PG,Randal Kleiser,"Amanda Bynes,Chris Carmack,Jonathan Bennett",4.830464886251237
Scream 4,4.4,32182,Prime Video,2011.0,R,Wes Craven,"Courteney Cox,David Arquette,Neve Campbell",3.99
Indecent Proposal,4.6,2319,Prime Video,1993.0,R,Adrian Lyne,"Robert Redford,Demi Moore,Woody Harrelson",3.79
Child 44,4.3,2697,Prime Video,2015.0,R,Daniel Espinosa,"Tom Hardy,Gary Oldman,Noomi Rapace,Joel Kinnaman",3.99
9/11,4.2,330,Prime Video,2017.0,R,Martin Guigui,"Charlie Sheen,Whoopi Goldberg,Gina Gershon",4.830464886251237
American History X,4.7,10845,Prime Video,1998.0,R,Tony Kaye,"Edward Norton,Edward Furlong,Beverly D'Angelo",3.79
Blended,4.8,25770,Prime Video,2014.0,PG-13,Frank Coraci,"Adam Sandler,Drew Barrymore,Wendi McLendon-Covey",4.830464886251237
Big Sky River,4.7,117,Prime Video,2022.0,R,Peter Benson,"Kavan Smith,Emmanuelle Vaugier",4.830464886251237
Odd Thomas,4.6,3962,Prime Video,2014.0,R,Stephen Sommers,"Willem Dafoe,Anton Yelchin,Nico Tortorella",2.99
Noah,4.0,24063,Prime Video,2014.0,PG-13,Darren Aronofsky,"Russell Crowe,Jennifer Connelly,Ray Winstone",4.830464886251237
Sahara (2005),4.7,5122,Prime Video,2005.0,R,Breck Eisner,"Penélope Cruz,Matthew McConaughey,Steve Zahn",3.79
The Best Offer,4.5,777,Prime Video,2014.0,R,Giuseppe Tornatore,"Geoffrey Rush,Sylvia Hoeks,Jim Sturgess",3.79
Independence Day,4.8,7807,Prime Video,1996.0,PG-13,Roland Emmerich,"Will Smith,Bill Pullman,Jeff Goldblum,Mary McDonnell",3.79
Trolls,4.8,62267,Prime Video,2016.0,PG,"Mike Mitchell,Walt Dohrn","Christopher Mintz-Plasse,Zooey Deschanel",3.79
Marvel Studios' Guardians of the Galaxy,4.8,52995,Prime Video,2014.0,PG-13,James Gunn,"Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel",3.79
The Lost World: Jurassic Park,4.7,16359,Prime Video,1997.0,PG-13,Steven Spielberg,"Jeff Goldblum,Julianne Moore,Pete Postlethwaite",3.59
xXx: Return of Xander Cage,4.5,7823,Prime Video,2017.0,PG-13,D.J. Caruso,"Vin Diesel,Donnie Yen,Deepika Padukone,Kris Wu",3.49
Devotion,4.5,3375,Prime Video,2022.0,PG-13,J.D. Dillard,"Jonathan Majors,Glen Powell,Christina Jackson",5.89
Seal of Desire,4.0,66,Prime Video,2022.0,R,Markiss McFadden,"Markiss McFadden,Ravyn Collier,Mark Justice",4.830464886251237
Ben Is Back,4.5,3475,Prime Video,2018.0,R,Peter Hedges,"Julia Roberts,Lucas Hedges,Courtney B. Vance",4.830464886251237
Guardians of the Galaxy Vol. 3,4.6,11182,Prime Video,2023.0,PG-13,James Gunn,"Chris Pratt,Zoe Saldaña,Dave Bautista,Karen Gillan",5.99
I Am Durán,4.3,241,Prime Video,2019.0,PG-13,Mat Hodgson,"Roberto Durán,Robert De Niro,Sylvester Stallone",3.99
Kingsman: The Secret Service,4.7,44769,Prime Video,2015.0,R,Matthew Vaughn,"Colin Firth,Samuel L. Jackson,Mark Strong",3.79
To Catch a Thief,4.8,3768,Prime Video,1955.0,PG,Alfred Hitchcock,"Cary Grant,Grace Kelly,Jesse Royce Landis",3.79
The Wedding Ringer,4.7,7840,Prime Video,2015.0,R,Jeremy Garelick,"Kevin Hart,Josh Gad,Affion Crockett",3.99
Love in the Limelight,4.7,63,Prime Video,2022.0,R,Ron Oliver,"Alexa PenaVega,Carlos PenaVega",4.830464886251237
Reprisal,4.0,1149,Prime Video,2018.0,R,Brian A. Miller,"Bruce Willis,Frank Grillo,Johnathon Schaech",4.830464886251237
Relative Strangers,4.4,106,Prime Video,2006.0,PG-13,Greg Glienna,"Danny DeVito,Kathy Bates,Ron Livingston,Neve Campbell",4.830464886251237
Sudden Fury,4.5,105,Prime Video,1993.0,R,Craig R. Baxley,"Neil Patrick Harris,Johnny Galecki,Linda Kelsey",4.830464886251237
No manches Frida 2,4.7,2468,Prime Video,2019.0,R,Nacho G. Velilla,"Martha Higareda,Omar Chaparro,Itatí Cantoral",3.99
Sleepy Hollow,4.7,12066,Prime Video,1999.0,R,Tim Burton,"Johnny Depp,Christina Ricci,Casper Van Dien",4.830464886251237
The Train,4.8,537,Prime Video,1965.0,R,John Frankenheimer,"Burt Lancaster,Paul Scofield,Michel Simon",4.830464886251237
Sirens,4.4,303,Prime Video,2023.0,R,John Duigan,"Elle Macpherson,Hugh Grant,Sam Neill,Tara Fitzgerald",4.830464886251237
Harry Potter and the Order of the Phoenix,4.9,52031,Prime Video,2007.0,PG-13,David Yates,"Daniel Radcliffe,Emma Watson,Rupert Grint",3.99
Jurassic Park III,4.7,14810,Prime Video,2001.0,PG-13,Joe Johnston,"Sam Neill,William H. Macy,Téa Leoni,Alessandro Nivola",3.59
The Nun II Extended Preview,5.0,1,Prime Video,2023.0,R,Michael Chaves,"Taissa Farmiga,Jonas Bloquet,Storm Reid",4.830464886251237
The Great Debaters,4.8,3539,Prime Video,2007.0,PG-13,Denzel Washington,"Denzel Washington,Forest Whitaker,Nate Parker",4.830464886251237
Gambit,4.3,445,Prime Video,1967.0,R,Ronald Neame,"Shirley MacLaine,Michael Caine,Herbert Lom",3.79
Last Knights,4.6,3107,Prime Video,2015.0,R,Kazuaki Kiriya,"Morgan Freeman,Clive Owen,Shoreh Aghdashloo",4.830464886251237
Black Girl Erupted,5.0,5,Prime Video,2023.0,R,Vanessa Bell Calloway,"Vanessa Williams,Vanessa Bell Calloway,B.J. Britt",4.830464886251237
New Best Friend,4.1,141,Prime Video,2002.0,R,Zoe Clarke-Williams,"Mia Kirshner,Meredith Monroe,Dominique Swain",3.99
Bullet to the Head,4.4,2426,Prime Video,2023.0,R,Walter Hill,"Sylvester Stallone,Sung Kang,Sarah Shahi",4.830464886251237
Children of the Corn,4.6,1451,Prime Video,1984.0,R,Fritz Kiersch,"Peter Horton,Linda Hamilton",2.99
The Baker,4.3,281,Prime Video,2023.0,R,Jonathan Sobol,"Ron Perlman,Elias Koteas,Joel David Moore",5.99
Destined At Christmas,4.4,232,Prime Video,2022.0,R,Brittany Wiscombe,"Shae Robins,Casey Elliott",4.830464886251237
So B. It,4.5,301,Prime Video,2017.0,PG-13,Stephen Gyllenhaal,"Talitha Bateman,Alfre Woodard,Jessica Collins",4.830464886251237
Last Holiday,4.8,16610,Prime Video,2006.0,PG-13,Wayne Wang,"Queen Latifah,LL Cool J,Timothy Hutton",3.79
Mr. Majestyk,4.6,1366,Prime Video,1974.0,PG,Richard Fleischer,"Charles Bronson,Al Lettieri,Linda Cristal,Paul Koslo",4.830464886251237
An Hour Behind,4.4,736,Prime Video,2017.0,R,Brian Brough,"Emily Rose,Barry Watson,Ali Durham,Casey Elliott",4.830464886251237
"Bucktown, U.S.A.",4.5,155,Prime Video,1975.0,R,Arthur Marks,"Fred Williamson,Pam Grier,Thalmus Rasulala,Tony King",4.830464886251237
Juice,4.8,3913,Prime Video,1992.0,R,Ernest Dickerson,"Omar Epps,Tupac Shakur,Jermaine Hopkins,Khalil Kain",4.830464886251237
The Quiet Man,4.8,14088,Prime Video,1952.0,R,John Ford,"John Wayne,Maureen O'Hara,Barry Fitzgerald",3.99
Horse Soldiers,4.7,1740,Prime Video,1959.0,R,John Ford,"John Wayne,William Holden,Constance Towers",4.830464886251237
The Wrong Friend,5.0,1,Prime Video,2018.0,R,David DeCoteau,"Vivica A. Fox,Li Eubanks,Michael Paré,Tracy Nelson",4.830464886251237
The Dressmaker,4.1,4608,Prime Video,2015.0,R,Jocelyn Moorhouse,"Kate Winslet,Liam Hemsworth,Judy Davis,Hugo Weaving",4.830464886251237
The Girl Who Believes In Miracles,4.7,8381,Prime Video,2021.0,PG,Richard Correll,"Mira Sorvino,Austyn Johnson,Kevin Sorbo",4.830464886251237
Shoelaces For Christmas,4.6,82,Prime Video,2018.0,R,Craig Clyde,"Bailey Chase,Jessica Morris,Mia Topalian",4.830464886251237
Nurses on the Line: The Crash of Flight 7,5.0,1,Prime Video,1993.0,PG,Larry Shaw,"Jennifer Lopez,Robert Loggia,Lindsay Wagner",4.830464886251237
The Invisible Man,4.7,1287,Prime Video,1933.0,R,James Whale,"Claude Rains,Gloria Stuart,William Harrigan",3.79
Street Code Broken,4.3,61,Prime Video,2022.0,R,Janaya Black,"Meech Icewood,Denzell Dandridge-Manning,Chelsie",4.830464886251237
Bottoms,4.5,129,Prime Video,2023.0,R,Emma Seligman,"Rachel Sennott,Ayo Edebiri,Havana Rose Liu",5.99
Cartoon Classics - Vol. 1: 25 Favorite Cartoons - 3 Hours,4.5,521,Prime Video,2017.0,PG-13,"Max Fleischer,Tex Avery","Bugs Bunny,Daffy Duck,Porky Pig,Little Lulu",4.830464886251237
The Spy Who Loved Me,4.6,2169,Prime Video,1977.0,PG,Lewis Gilbert,"Roger Moore,Barbara Bach,Curt Jurgens,Richard Kiel",3.99
Dune,4.5,42577,Prime Video,2021.0,PG-13,Denis Villeneuve,"Timothée Chalamet,Rebecca Ferguson,Oscar Isaac",3.79
Ice Girls,4.1,55,Prime Video,2016.0,PG,Damian Lee,"Natasha Henstridge,Elvis Stojko,Sheila McCarthy",4.830464886251237
Amish Grace,4.7,645,Prime Video,2010.0,R,Gregg Champion,"Kimberly Williams-Paisley,Tammy Blanchard",4.830464886251237
Golda,4.3,46,Prime Video,2023.0,PG-13,Guy Nattiv,"Helen Mirren,Camille Cottin,Lior Ashkenazi",19.99
Event Horizon,4.6,7696,Prime Video,1997.0,R,Paul Anderson,"Laurence Fishburne,Sam Neill,Kathleen Quinlan",4.830464886251237
The Passion of The Christ,4.8,15558,Prime Video,2004.0,R,Mel Gibson,"Jim Caviezel,Monica Bellucci,Maia Morgenstern",12.99
Forrest Gump,4.9,39509,Prime Video,1994.0,PG-13,Robert Zemeckis,"Tom Hanks,Robin Wright Penn,Gary Sinise",3.79
Scoob!,4.6,58428,Prime Video,2020.0,PG,Tony Cervone,"Frank Walker,Will Forte,Zac Efron,Amanda Seyfried",4.830464886251237
"Buried With Love, 2",4.0,1,Prime Video,2020.0,R,,Joe Bondulich,4.830464886251237
Rio,4.8,20084,Prime Video,2011.0,G,Carlos Saldanha,"Jesse Eisenberg,Leslie Mann,Anne Hathaway",3.99
The Wrong Car,4.0,172,Prime Video,2016.0,R,"MarVista Entertainment, Inc.","Danielle Savre,Jackson Davis,Francia Raisa",1.79
Saw 2 (Unrated),4.5,1451,Prime Video,2005.0,R,Darren Lynn Bousman,"Beverley Mitchell,Dina Meyer,Donnie Wahlberg",4.59
Blade: Trinity,4.6,3658,Prime Video,2004.0,R,David S. Goyer,"Wesley Snipes,Kris Kristofferson,Dominic Purcell",4.830464886251237
The Nun,4.4,33652,Prime Video,2018.0,R,Corin Hardy,"Demián Bichir,Taissa Farmiga,Jonas Bloquet",3.99
Seven Psychopaths,4.4,6105,Prime Video,2012.0,R,Martin McDonagh,"Colin Farrell,Sam Rockwell,Woody Harrelson",3.59
Chained,4.3,1488,Prime Video,2012.0,R,Jennifer Chambers Lynch,"Vincent D'Onofrio,Julia Ormond,Gina Philips",2.99
Sin Nombre (English Subtitled),4.7,2128,Prime Video,2009.0,R,"Cary Joji Fukunaga,Cary Fukunaga","Paulina Gaitan,Edgar Flores,Kristian Ferrer",4.830464886251237
The Apostles After Jesus,4.4,216,Prime Video,2017.0,R,Regardt van den Bergh,"Dean Jones,James Brolin,Jennifer O'Neill",4.830464886251237
50/50,4.6,2211,Prime Video,2011.0,R,Jonathan Levine,"Seth Rogen,Joseph Gordon-Levitt,Anjelica Huston",3.79
Without a Paddle,4.7,7862,Prime Video,2004.0,PG-13,Steven Brill,"Seth Green,Matthew Lillard,Dax Shepard,Ethan Suplee",3.39
I'll Be Home for Christmas,4.5,162,Prime Video,1997.0,R,Jerry London,"Ann Jillian,Robert Hays,Ashley Gorrell,Jack Palance",4.830464886251237
Hostiles,4.6,9490,Prime Video,2018.0,R,Scott Cooper,"Christian Bale,Rosamund Pike,Wes Studi,Peter Mullan",3.79
My Friend Dahmer,4.0,1859,Prime Video,2017.0,R,Marc Meyers,"Ross Lynch,Alex Wolff,Anne Heche",4.830464886251237
Held Up,4.4,933,Prime Video,2000.0,PG-13,Steve Rash,"Jamie Foxx,Nia Long,Barry Corbin,John Cullum",4.830464886251237
All American Girl: The Mary Kay Letourneau Story,4.4,402,Prime Video,2000.0,R,Lloyd Kramer,"Penelope Ann Miller,Omar Anguiano,Mercedes Ruehl",4.830464886251237
Halloween 4: The Return of Michael Myers,4.6,5486,Prime Video,1988.0,R,Dwight H. Little,"Donald Pleasence,Danielle Harris,George P. Wilbur",4.830464886251237
Tomorrow Never Dies,4.6,2721,Prime Video,1997.0,PG-13,Roger Spottiswoode,"Pierce Brosnan,Jonathan Pryce,Michelle Yeoh",3.99
Hardball,4.7,3497,Prime Video,2001.0,R,Brian Robbins,"Keanu Reeves,Diane Lane,John Hawkes",4.830464886251237
A Nightmare on Elm Street,4.6,13637,Prime Video,1984.0,R,Wes Craven,"Heather Langenkamp,Johnny Depp,Robert Englund",3.99
A Quiet Place,4.6,67696,Prime Video,2018.0,PG-13,John Krasinski,"Emily Blunt,John Krasinski,Millicent Simmonds",3.39
Dog Soldiers,4.6,3502,Prime Video,2023.0,R,Neil Marshall,Sean Pertwee,4.830464886251237
Man of Steel,4.7,29938,Prime Video,2013.0,PG-13,Zack Snyder,"Amy Adams,Antje Traue,Ayalet Zurer,Russell Crowe",4.830464886251237
1984,4.2,5600,Prime Video,1985.0,R,---,"John Hurt,Richard Burton,Suzanna Hamilton",4.830464886251237
V/H/S,4.2,2978,Prime Video,2012.0,R,"Adam Wingard,Glenn McQuaid","Joe Swanberg,Adam Wingard,Calvin Reeder,Sophia Takal",2.99
Vampire Dog,4.4,156,Prime Video,2012.0,G,Geoff Anderson,"Collin MacKechnie,Julia Sarah Stone,Amy Matysio",4.830464886251237
A Royal Christmas on Ice,4.4,51,Prime Video,2022.0,R,Fred Olen Ray,"Anna Marie Dobbins,Jonathan Stoddard,William Baldwin",4.830464886251237
Love Marry Kill,4.8,7,Prime Video,2023.0,R,Trey Haley,"Skyh Black,Monique Coleman",4.830464886251237
Batman (1989),4.7,11102,Prime Video,1989.0,PG-13,Tim Burton,"Michael Keaton,Jack Nicholson,Kim Basinger",2.99
Lee Daniels' The Butler,4.7,8730,Prime Video,2013.0,PG-13,Lee Daniels,"Forest Whitaker,Oprah Winfrey,Mariah Carey",3.99
Pulse,4.3,1072,Prime Video,2006.0,PG-13,Jim Sonzero,"Kristen Bell,Rick Gonzalez,Ian Somerhalder",4.830464886251237
Sniper: The White Raven,4.3,1565,Prime Video,2022.0,R,Not Specified,"Pavlo Aldoshyn,Maryna Koshkina,Andriy Mostrenko",4.830464886251237
King Arthur: Legend of the Sword,4.6,19349,Prime Video,2017.0,PG-13,Guy Ritchie,"Charlie Hunnam,Astrid Berges-Frisbey,Djimon Hounsou",4.830464886251237
Alvin and the Chipmunks,4.7,7182,Prime Video,2007.0,PG,Tim Hill,"Jason Lee,David Cross,Cameron Richardson",4.830464886251237
The Right Kind of Wrong,4.0,235,Prime Video,2014.0,R,"Ryan Kwanten,Sara Canning","Ryan Kwanten,Kristen Hager,Maria Menounos,Jamani",0.99
The Dog Who Saved Halloween,4.3,761,Prime Video,2011.0,PG,Peter Sullivan,"Gary Valentine,Dean Cain,Mayim Bialik,Elisa Donovan",4.830464886251237
A Country Romance,4.3,105,Prime Video,2022.0,R,Danny Roth,"Alix Angelis,Jonathan Bennett,Violet Tinnirello",4.830464886251237
Broken Promise,4.2,3,Prime Video,2016.0,R,Nadeem Soumah,"Ashley Scott,Louis Mandylor,Nick Baillie",4.830464886251237
The Ninth Gate,4.6,4813,Prime Video,2000.0,R,Roman Polanski,"Johnny Depp,Lena Olin,Frank Langella",4.830464886251237
All About You,4.8,383,Prime Video,2001.0,R,Christine Swanson,"Renée Elise Goldsberry,Terron Brooks,Debbie Allen",4.830464886251237
Final Destination 3,4.5,3790,Prime Video,2006.0,R,James Wong,"Mary Elizabeth Winstead,Ryan Merriman,Kris Lemche",3.99
Halloween 4: The Return of Michael Myers,4.6,5486,Prime Video,1988.0,R,Dwight H. Little,"Donald Pleasence,Danielle Harris,George P. Wilbur",4.830464886251237
Sing,4.8,77780,Prime Video,2016.0,R,Garth Jennings,"Matthew McConaughey,Reese Witherspoon",3.99
Half Nelson,4.2,418,Prime Video,2018.0,R,Ryan Fleck,"Ryan Gosling,Jeff Lima,Shareeka Epps",4.830464886251237
The Great War of Archimedes,4.1,1322,Prime Video,2021.0,R,Takashi Yamazaki,"Masaki Suda,Jun Kunimura,Tosuku Emoto",4.830464886251237
The Relic,4.5,2760,Prime Video,1997.0,R,Peter Hyams,"Penelope Ann Miller,Tom Sizemore,Linda Hunt",3.79
A Haunted House 2,4.5,5405,Prime Video,2014.0,R,Michael Tiddas,"Marlon Wayans,Jaime Pressly,Essence Atkins",3.99
V/H/S,4.2,2978,Prime Video,2012.0,R,"Adam Wingard,Glenn McQuaid","Joe Swanberg,Adam Wingard,Calvin Reeder,Sophia Takal",2.99
Personally Yours,4.3,80,Prime Video,2000.0,PG-13,Jeffrey Reiner,"Valerie Bertinelli,Jeffrey Nordling,Britt Irvin",1.99
Cry From the Mountain,4.2,29,Prime Video,1985.0,PG,James F. Collier,"James Cavan,Wes Parker,Rita Walter,Coleen Gray",1.99
Hidden Ireland,4.1,22,Prime Video,2023.0,R,Check Six Productions Inc,Peter Greenberg,0.99
The Case of the Whitechapel Vampire,4.2,46,Prime Video,2002.0,R,Rodney Gibbons,"Matt Frewer,Kenneth Welsh,Shawn Lawrence",4.830464886251237
The Mighty Quinn,4.6,345,Prime Video,1989.0,R,Carl Schenkel,"Denzel Washington,James Fox,Mimi Rogers",4.830464886251237
The House Bunny,4.6,4658,Prime Video,2008.0,PG-13,Fred Wolf,"Anna Faris,Colin Hanks,Emma Stone",3.59
The Spy Who Loved Me,4.6,2169,Prime Video,1977.0,PG,Lewis Gilbert,"Roger Moore,Barbara Bach,Curt Jurgens,Richard Kiel",3.99
Taming Andrew,4.3,98,Prime Video,2000.0,R,Artie Mandelberg,"Park Overall,Seth Adkins,Jason Beghe,Shane Daly",4.830464886251237
Varsity Blues,4.7,5637,Prime Video,1999.0,R,---,"James Van Der Beek,Jon Voight,Paul Walker",3.79
The General's Daughter(1999),4.7,2987,Prime Video,1999.0,R,Simon West,"John Travolta,Madeleine Stowe,James Cromwell",4.830464886251237
Dark Legacy,4.3,542,Prime Video,2009.0,R,John Hankey,"John F. Kennedy,George Bush,Richard Nixon",4.830464886251237
The Girl Next Door,4.3,1570,Prime Video,2008.0,R,Gregory Wilson,"Blanche Baker,William Atherton",4.830464886251237
True Justice: Deadly Crossing,4.3,9,Prime Video,2011.0,R,Keoni Waxman,Steven Seagal,4.830464886251237
Aurora Teagarden Mysteries: Something New,4.6,11,Prime Video,2023.0,R,Jessica Harmon,"Marilu Henner,Evan Roderick,Skyler Samuels",4.830464886251237
"Me, Myself And Irene",4.6,6698,Prime Video,2000.0,R,"Peter Farrelly,Bobby Farrelly","Jim Carrey,Renee Zellweger,Robert Forster",4.29
The Devil's Brigade,4.6,1316,Prime Video,1968.0,R,Andrew V. McLaglen,"William Holden,Cliff Robertson,Vince Edwards",3.89
NAICA: The Crystal Cave,4.2,50,Prime Video,2008.0,R,Gary Lang,Robin Ward,4.830464886251237
Michael Jackson: Searching for Neverland,4.4,522,Prime Video,2017.0,R,Dianne Houston,Navi,4.830464886251237
Loaded,4.5,9,Prime Video,2015.0,R,Chris Zonas,"Kumail Nanjiani,Andrew W. Walker",0.99
Denial,4.5,1268,Prime Video,2016.0,PG-13,Mick Jackson,"Rachel Weisz,Tom Wilkinson,Timothy Spall,Andrew Scott",3.79
Harry Potter And The Deathly Hallows - Part 1,4.8,48525,Prime Video,2010.0,PG-13,David Yates,"Daniel Radcliffe,Emma Watson,Rupert Grint",3.79
Super Troopers,4.7,13824,Prime Video,2002.0,R,Jay Chandrasekhar,"Marisa Coughlan,Brian Cox,Lynda Carter",3.79
The Reading,4.5,196,Prime Video,2023.0,R,Courtney Glaude,"Mo'Nique,Charnele Brown,R.J. Atkins",4.830464886251237
The Illusionist,4.7,4146,Prime Video,2006.0,PG-13,Neil Burger,"Edward Norton,Jessica Biel,Paul Giamatti",4.830464886251237
Michael Jackson: Searching for Neverland,4.4,522,Prime Video,2017.0,R,Dianne Houston,Navi,4.830464886251237
The Gift,4.5,4200,Prime Video,2001.0,R,Sam Raimi,"Keanu Reeves,Cate Blanchett,Hilary Swank",3.99
Denial,4.5,1268,Prime Video,2016.0,PG-13,Mick Jackson,"Rachel Weisz,Tom Wilkinson,Timothy Spall,Andrew Scott",3.79
The Winter Palace,4.2,71,Prime Video,2022.0,R,T.W. Peacocke,"Danica McKellar,Neal Bledsoe,Jennifer Wigmore",2.99
Harry Potter And The Deathly Hallows - Part 1,4.8,48525,Prime Video,2010.0,PG-13,David Yates,"Daniel Radcliffe,Emma Watson,Rupert Grint",3.79
Super Troopers,4.7,13824,Prime Video,2002.0,R,Jay Chandrasekhar,"Marisa Coughlan,Brian Cox,Lynda Carter",3.79
Death Wish (1974),4.6,2817,Prime Video,1974.0,R,Michael Winner,"Charles Bronson,Vincent Gardenia,William Redfield",4.830464886251237
Broken Promise,4.2,3,Prime Video,2016.0,R,Nadeem Soumah,"Ashley Scott,Louis Mandylor,Nick Baillie",4.830464886251237
The Wrong Friend,5.0,1,Prime Video,2018.0,R,David DeCoteau,"Vivica A. Fox,Li Eubanks,Michael Paré,Tracy Nelson",4.830464886251237
Held Up,4.4,933,Prime Video,2000.0,PG-13,Steve Rash,"Jamie Foxx,Nia Long,Barry Corbin,John Cullum",4.830464886251237
Not Cinderella's Type,4.4,1513,Prime Video,2018.0,R,Brian Brough,"Paris Warner,Tim Flynn,Tanner Gillman",4.830464886251237
All American Girl: The Mary Kay Letourneau Story,4.4,402,Prime Video,2000.0,R,Lloyd Kramer,"Penelope Ann Miller,Omar Anguiano,Mercedes Ruehl",4.830464886251237
True to the Game 3,4.7,11442,Prime Video,2021.0,R,David Wolfgang,"Malik Barnhardt,Omar Gooding,Columbus Short",2.99
Bill Engvall: Just Sell Him For Parts,4.7,1473,Prime Video,2016.0,R,Bill Engvall,Bill Engvall,4.830464886251237
George's Best Stuff,4.6,87,Prime Video,2003.0,R,Rocco Urbisci,George Carlin,4.830464886251237
Saw 3 (Unrated),4.5,2562,Prime Video,2006.0,R,Darren Lynn Bousman,"Tobin Bell,Scott Patterson,Costas Mandylor,Julie Benz",5.99
Harry Potter and the Deathly Hallows - Part 2,4.9,52395,Prime Video,2011.0,PG-13,David Yates,"Daniel Radcliffe,Rupert Grint,Emma Watson",3.79
Monster's Ball,4.5,1985,Prime Video,2002.0,R,Marc Forster,"Halle Berry,Billy Bob Thornton,Heath Ledger",4.830464886251237
Lords Of Salem,4.2,3920,Prime Video,2013.0,R,Rob Zombie,"Bruce Davison,Dee Wallace,Ken Foree",4.830464886251237
Samuel L. Jackson: Did I Stutter?,5.0,1,Prime Video,2023.0,PG,Ben Sempey,"Samuel L. Jackson,Diriki Mack",4.830464886251237
Anna's Storm,4.1,24,Prime Video,2007.0,R,Kristoffer Tabori,"Sheree J. Wilson,Peter LaCroix,Scott Hylands",4.830464886251237
One In The Chamber,4.3,270,Prime Video,2012.0,R,William Kaufman,"Cuba Gooding Jr.,Dolph Lundgren,Claudia Bassols",4.830464886251237
No Country for Old Men,4.7,16979,Prime Video,2007.0,R,"Joel Coen,Ethan Coen","Tommy Lee Jones,Javier Bardem,Josh Brolin",3.79
The Unbearable Weight of Massive Talent,4.3,20808,Prime Video,2022.0,R,Tom Gormican,"Nicolas Cage,Pedro Pascal,Tiffany Haddish,Paco León",3.99
World War Z,4.7,51314,Prime Video,2013.0,PG-13,Marc Forster,"Brad Pitt,Mireille Enos,James Badgen Dale,Matthew Fox",3.79
The Misfits,4.0,8221,Prime Video,2021.0,R,Renny Harlin,"Pierce Brosnan,Jamie Chung,Tim Roth,Nick Cannon",3.99
Stonehearst Asylum,4.4,1089,Prime Video,2014.0,PG-13,Brad Anderson,"Kate Beckinsale,Jim Sturgess,Ben Kingsley",4.830464886251237
Deliver Us From Evil,4.5,6161,Prime Video,2014.0,R,Scott Derrickson,"Eric Bana,Edgar Ramirez,Olivia Munn,Joel McHale",3.99
Point Last Seen,4.0,1,Prime Video,1998.0,R,Elodie Keene,"Linda Hamilton,Kevin Kilner,Sam Hennings",4.830464886251237
Good Burger,4.7,4842,Prime Video,1997.0,PG,Brian Robbins,"Kel Mitchell,Kenan Thompson,Sinbad,Abe Vigoda",3.59
Road to El Dorado,4.8,7138,Prime Video,2000.0,PG,"Bibo Bergeron,Don Paul","Rosie Perez,Kenneth Branagh,Kevin Kline",3.99
Saw: The Final Chapter,4.6,3404,Prime Video,2010.0,R,Kevin Greutert,"Tobin Bell,Costas Mandylor,Betsy Russell",3.99
Elvira's Haunted Hills,4.6,1302,Prime Video,2002.0,R,Sam Irvin,Cassandra Peterson,4.830464886251237
